user_id,event,event_date,days_since_signup
USR00001,signup,2023-04-13,0
USR00001,email_verified,2023-04-13,0
USR00001,profile_completed,2023-04-14,1
USR00001,first_project_created,2023-04-14,1
USR00001,dashboard_viewed,2023-04-19,6
USR00001,report_generated,2023-04-27,14
USR00001,upgrade_page_viewed,2023-05-19,36
USR00001,session_started,2023-04-14,1
USR00001,comment_added,2023-04-16,3
USR00001,search_performed,2023-04-17,4
USR00001,file_uploaded,2023-04-18,5
USR00001,file_uploaded,2023-04-20,7
USR00001,search_performed,2023-04-21,8
USR00001,search_performed,2023-04-22,9
USR00001,session_started,2023-04-23,10
USR00001,search_performed,2023-04-25,12
USR00001,session_started,2023-04-26,13
USR00001,comment_added,2023-04-28,15
USR00001,comment_added,2023-05-06,23
USR00001,session_started,2023-05-07,24
USR00001,file_uploaded,2023-05-12,29
USR00001,session_started,2023-05-14,31
USR00001,session_started,2023-05-15,32
USR00001,session_started,2023-05-22,39
USR00001,comment_added,2023-05-25,42
USR00001,task_created,2023-05-31,48
USR00001,comment_added,2023-06-06,54
USR00001,project_updated,2023-06-11,59
USR00001,comment_added,2023-06-18,66
USR00001,file_uploaded,2023-06-19,67
USR00001,task_created,2023-06-21,69
USR00001,file_uploaded,2023-06-24,72
USR00001,search_performed,2023-06-29,77
USR00001,search_performed,2023-07-12,90
USR00002,signup,2023-01-21,0
USR00002,email_verified,2023-01-21,0
USR00002,file_uploaded,2023-01-22,1
USR00002,session_started,2023-01-25,4
USR00002,task_created,2023-01-27,6
USR00002,comment_added,2023-01-31,10
USR00002,comment_added,2023-02-02,12
USR00002,comment_added,2023-02-05,15
USR00002,file_uploaded,2023-02-12,22
USR00002,search_performed,2023-02-17,27
USR00002,file_uploaded,2023-02-23,33
USR00002,session_started,2023-02-25,35
USR00002,task_created,2023-02-26,36
USR00002,project_updated,2023-03-08,46
USR00002,project_updated,2023-03-18,56
USR00002,comment_added,2023-03-22,60
USR00003,signup,2023-03-29,0
USR00003,email_verified,2023-03-29,0
USR00003,first_project_created,2023-03-31,2
USR00003,dashboard_viewed,2023-04-04,6
USR00003,report_generated,2023-04-23,25
USR00003,session_started,2023-04-03,5
USR00003,task_created,2023-04-05,7
USR00003,project_updated,2023-04-06,8
USR00003,project_updated,2023-04-07,9
USR00003,file_uploaded,2023-04-08,10
USR00003,search_performed,2023-04-11,13
USR00003,file_uploaded,2023-04-19,21
USR00003,task_created,2023-04-20,22
USR00003,comment_added,2023-04-28,30
USR00003,file_uploaded,2023-05-25,57
USR00003,session_started,2023-06-03,66
USR00003,comment_added,2023-06-23,86
USR00004,signup,2023-11-05,0
USR00004,email_verified,2023-11-05,0
USR00004,first_project_created,2023-11-05,0
USR00004,first_task_created,2023-11-06,1
USR00004,invited_team_member,2023-11-12,7
USR00004,dashboard_viewed,2023-11-10,5
USR00004,project_updated,2023-11-06,1
USR00004,comment_added,2023-11-08,3
USR00004,file_uploaded,2023-11-09,4
USR00004,task_created,2023-11-10,5
USR00004,search_performed,2023-11-11,6
USR00004,comment_added,2023-11-12,7
USR00004,file_uploaded,2023-11-16,11
USR00004,session_started,2023-11-18,13
USR00004,file_uploaded,2023-11-19,14
USR00004,file_uploaded,2023-11-21,16
USR00004,task_created,2023-11-26,21
USR00004,task_created,2023-11-30,25
USR00004,task_created,2023-12-01,26
USR00004,session_started,2023-12-02,27
USR00004,session_started,2023-12-03,28
USR00004,project_updated,2023-12-05,30
USR00004,comment_added,2023-12-06,31
USR00004,session_started,2023-12-07,32
USR00004,file_uploaded,2023-12-09,34
USR00004,search_performed,2023-12-11,36
USR00004,project_updated,2023-12-12,37
USR00004,comment_added,2023-12-18,43
USR00004,session_started,2023-12-19,44
USR00004,file_uploaded,2023-12-20,45
USR00004,search_performed,2023-12-21,46
USR00004,session_started,2023-12-22,47
USR00004,session_started,2023-12-23,48
USR00004,file_uploaded,2023-12-25,50
USR00004,comment_added,2024-01-05,61
USR00004,task_created,2024-01-07,63
USR00004,search_performed,2024-01-10,66
USR00004,search_performed,2024-01-14,70
USR00004,project_updated,2024-01-28,84
USR00005,signup,2023-07-11,0
USR00005,email_verified,2023-07-11,0
USR00005,profile_completed,2023-07-11,0
USR00005,first_project_created,2023-07-11,0
USR00005,first_task_created,2023-07-14,3
USR00005,invited_team_member,2023-07-22,11
USR00005,upgrade_page_viewed,2023-08-16,36
USR00005,search_performed,2023-07-12,1
USR00005,search_performed,2023-07-13,2
USR00005,file_uploaded,2023-07-15,4
USR00005,file_uploaded,2023-07-16,5
USR00005,task_created,2023-07-17,6
USR00005,file_uploaded,2023-07-18,7
USR00005,comment_added,2023-07-19,8
USR00005,project_updated,2023-07-20,9
USR00005,task_created,2023-07-21,10
USR00005,file_uploaded,2023-07-22,11
USR00005,comment_added,2023-07-23,12
USR00005,search_performed,2023-07-24,13
USR00005,comment_added,2023-07-26,15
USR00005,task_created,2023-07-28,17
USR00005,session_started,2023-07-30,19
USR00005,project_updated,2023-07-31,20
USR00005,session_started,2023-08-03,23
USR00005,comment_added,2023-08-04,24
USR00005,comment_added,2023-08-05,25
USR00005,project_updated,2023-08-06,26
USR00005,task_created,2023-08-08,28
USR00005,search_performed,2023-08-11,31
USR00005,task_created,2023-08-13,33
USR00005,comment_added,2023-08-15,35
USR00005,session_started,2023-08-16,36
USR00005,session_started,2023-08-18,38
USR00005,project_updated,2023-08-20,40
USR00005,file_uploaded,2023-08-21,41
USR00005,session_started,2023-08-24,44
USR00005,project_updated,2023-08-26,46
USR00005,task_created,2023-08-29,49
USR00005,session_started,2023-09-03,54
USR00005,task_created,2023-09-09,60
USR00005,search_performed,2023-09-14,65
USR00005,project_updated,2023-09-21,72
USR00005,comment_added,2023-09-24,75
USR00005,project_updated,2023-09-30,81
USR00006,signup,2023-09-10,0
USR00006,email_verified,2023-09-10,0
USR00006,profile_completed,2023-09-10,0
USR00006,first_project_created,2023-09-12,2
USR00006,invited_team_member,2023-09-15,5
USR00006,report_generated,2023-10-02,22
USR00006,file_uploaded,2023-09-12,2
USR00006,session_started,2023-09-16,6
USR00006,session_started,2023-09-17,7
USR00006,task_created,2023-09-19,9
USR00006,search_performed,2023-09-27,17
USR00006,file_uploaded,2023-09-30,20
USR00006,task_created,2023-10-17,37
USR00006,comment_added,2023-10-20,40
USR00006,session_started,2023-10-24,44
USR00006,comment_added,2023-10-29,49
USR00006,file_uploaded,2023-11-05,56
USR00006,task_created,2023-11-27,78
USR00007,signup,2024-04-20,0
USR00007,email_verified,2024-04-20,0
USR00007,profile_completed,2024-04-20,0
USR00007,first_project_created,2024-04-20,0
USR00007,first_task_created,2024-04-23,3
USR00007,invited_team_member,2024-04-30,10
USR00007,integration_connected,2024-04-26,6
USR00007,dashboard_viewed,2024-04-24,4
USR00007,comment_added,2024-04-21,1
USR00007,search_performed,2024-04-22,2
USR00007,file_uploaded,2024-04-23,3
USR00007,project_updated,2024-04-24,4
USR00007,project_updated,2024-04-25,5
USR00007,file_uploaded,2024-04-27,7
USR00007,project_updated,2024-04-28,8
USR00007,comment_added,2024-04-29,9
USR00007,session_started,2024-05-01,11
USR00007,search_performed,2024-05-02,12
USR00007,project_updated,2024-05-04,14
USR00007,file_uploaded,2024-05-05,15
USR00007,file_uploaded,2024-05-06,16
USR00007,project_updated,2024-05-07,17
USR00007,project_updated,2024-05-08,18
USR00007,file_uploaded,2024-05-13,23
USR00007,project_updated,2024-05-14,24
USR00007,task_created,2024-05-19,29
USR00007,search_performed,2024-05-22,32
USR00007,project_updated,2024-05-26,36
USR00007,search_performed,2024-06-04,45
USR00007,session_started,2024-06-05,46
USR00007,session_started,2024-06-17,58
USR00007,project_updated,2024-06-20,61
USR00007,file_uploaded,2024-06-22,63
USR00007,file_uploaded,2024-06-24,65
USR00008,signup,2023-09-01,0
USR00008,email_verified,2023-09-01,0
USR00008,profile_completed,2023-09-02,1
USR00008,first_project_created,2023-09-03,2
USR00008,first_task_created,2023-09-04,3
USR00008,invited_team_member,2023-09-12,11
USR00008,dashboard_viewed,2023-09-02,1
USR00008,report_generated,2023-09-09,8
USR00008,upgrade_page_viewed,2023-10-13,42
USR00008,file_uploaded,2023-09-05,4
USR00008,search_performed,2023-09-06,5
USR00008,session_started,2023-09-10,9
USR00008,search_performed,2023-09-13,12
USR00008,comment_added,2023-09-14,13
USR00008,comment_added,2023-09-21,20
USR00008,task_created,2023-09-25,24
USR00008,search_performed,2023-09-28,27
USR00008,comment_added,2023-10-01,30
USR00008,session_started,2023-10-07,36
USR00008,comment_added,2023-10-09,38
USR00008,session_started,2023-10-11,40
USR00008,session_started,2023-10-14,43
USR00008,session_started,2023-11-10,70
USR00008,file_uploaded,2023-11-12,72
USR00009,signup,2023-01-21,0
USR00009,profile_completed,2023-01-21,0
USR00009,first_project_created,2023-01-22,1
USR00009,integration_connected,2023-02-06,16
USR00009,report_generated,2023-02-17,27
USR00009,search_performed,2023-01-22,1
USR00009,search_performed,2023-01-27,6
USR00009,file_uploaded,2023-02-05,15
